speech_rate,setting
4.786457860969263,urban
4.845705941971464,urban
4.0287982882536,urban
3.5485778996115633,urban
5.00405395779577,urban
4.193670244622529,urban
4.482054636033542,urban
6.596977402491109,urban
3.6295062143472365,urban
3.7609035734048897,urban
4.449747615388428,urban
4.100500424311556,urban
4.965638410237564,urban
6.694974546142862,urban
3.838086461327826,urban
4.945299153003574,urban
4.483128852996325,urban
3.5808033302979756,urban
3.5046264067302406,urban
3.6610455907469883,urban
3.954817665941479,urban
4.297574547625394,urban
6.124163041062224,urban
5.579331350925951,urban
4.169908841747475,urban
3.7465978419217234,urban
4.186013766298252,urban
6.66256475196787,urban
5.634892087515109,urban
6.516081661640549,urban
4.06523358322144,urban
6.885586026276551,urban
5.684990606875328,urban
3.533360028365277,urban
4.4852774897330026,urban
3.4979002185020516,urban
4.394953325077896,urban
5.1954067252351726,urban
6.367374726587829,urban
6.134997088086694,urban
3.5117205253308326,urban
5.696270833146541,urban
4.495935067228199,urban
4.532602481435401,urban
4.0103881844482885,urban
4.829541946427406,urban
3.7412039621710704,urban
4.681556259621069,urban
5.816743804340658,urban
4.282719884671262,urban
4.211349012973185,urban
4.415220500607588,urban
4.125582190130469,urban
4.421262580055193,urban
5.635410921353447,urban
3.6614767328236977,urban
5.691462556517891,urban
5.168313519970347,urban
5.685138939887409,urban
4.533573935757457,urban
3.666415599093487,urban
4.558842279252842,urban
4.306857991863703,urban
3.817045448635609,urban
5.194767789955926,urban
4.079324424311002,urban
4.859216422804399,urban
3.1346499461361685,urban
3.7235574383914365,urban
7.449730228287418,urban
4.876319813927498,urban
5.019835030291446,urban
3.8375510018119074,urban
3.0731610548626414,urban
5.937471745888684,urban
5.511515054040129,urban
3.979944346356701,urban
3.827420467961227,urban
4.900221459197841,urban
4.849398603416734,urban
4.4354902166560075,urban
3.572585753424301,urban
3.1412571173290167,urban
4.483290009761802,urban
4.455301194350348,urban
2.8807072976243657,urban
4.57570226937603,urban
4.196894313328269,urban
5.7089161461344045,urban
5.001781177598014,urban
4.961788504698758,urban
5.5622154805311705,urban
4.175728473116937,urban
6.658401165139118,urban
3.743609884039266,urban
3.383918457258263,urban
4.017613848644386,urban
6.0304165953077,urban
5.506462623886536,urban
4.259092122030982,urban
1.6464252147839087,natural
1.5669739372321738,natural
1.5170213427273553,natural
1.423679394138855,natural
1.6085800917012938,natural
1.3524920623843861,natural
1.4985196767624764,natural
2.229356293765027,natural
1.3956165374659817,natural
1.2959729245207212,natural
1.63843389689632,natural
1.1510648075706569,natural
1.7144144606458938,natural
2.4392685767615543,natural
1.4344022551741629,natural
1.6630204461495914,natural
1.4566003153302862,natural
1.303654328485273,natural
1.2996387480877891,natural
1.421600898920926,natural
1.5088720141752108,natural
1.6466335794702764,natural
2.104918741122139,natural
1.8129637950383752,natural
1.6436417061460917,natural
1.3711080106923783,natural
1.5578841447976635,natural
1.896064771284534,natural
2.2528518533441653,natural
2.336634928212457,natural
1.3770266264835243,natural
3.2755079171471744,natural
2.2115689060139245,natural
1.313501618248017,natural
1.4812635474178244,natural
1.580951057554324,natural
1.4679063643092338,natural
1.9362918466972303,natural
2.599789127759149,natural
2.067052739279198,natural
1.5646457661146995,natural
1.8998820794745859,natural
